gender,height,handsize,age,gaming,chat,maps,video,social,reading,total_minutes,days_ago,years_ago,discount,phone_id,brand,size_cat,price,screen_size
female,71,7.88,20,316.436544,281.9383047,77.01607353,499.8044799,176.0452301,93.40913454,1444.64976671185,852.7672507,3,,H2,huawei,l,699,5.7
male,64.6,5.63,20,441.5107398,163.2023108,17.49627447,587.5581063,104.325127,62.28016248,1376.372721,834.4748219,3,H1,H2,huawei,l,699,5.7
male,66.8,7.5,20,244.7269025,361.8341863,142.5696499,356.6027488,318.7950822,82.70054064,1507.22911,947.6572084,3,S2,A1,apple,s,749,5.5
male,67.3,5.97,19,385.9053125,201.9703534,82.73019387,537.8932853,244.429449,116.9359106,1569.864505,400.6414101,2,S1,H1,huawei,s,699,5.7
male,68.1,6.71,19,204.2434934,407.6044923,143.6767236,241.9932428,344.192753,67.49202529,1409.20273,555.8766027,2,A1,S1,samsung,s,749,5.8
male,67.9,7.7,20,499.2387281,156.960292,56.63565653,374.2315532,111.8296131,48.64940013,1247.545243,874.0437736,3,H2,A2,apple,l,899,5.8
female,65.8,7.15,20,142.5668086,334.2210598,55.21502232,298.6310006,179.4310472,0,1010.064939,947.7817022,3,,A2,apple,l,899,5.8
female,59.1,4.61,19,145.4078005,447.4787286,133.5761274,279.1151805,327.3976954,156.2591525,1489.234685,402.8948067,2,H1,A1,apple,s,799,5.8
male,67.4,6.76,19,497.0996692,280.5894748,25.3784061,567.3317824,153.0885257,11.16400804,1534.651866,112.6828689,1,A1,A2,apple,l,999,6.5
female,61.8,6.44,20,124.2808128,355.7979968,120.7208998,301.9983161,223.9999758,100.9658178,1227.763819,769.4918244,3,,A1,apple,s,749,5.5
male,67.9,7.6,19,341.4664825,141.7867679,80.58483745,603.3306694,88.13560639,71.3410819,1326.6454455226,517.5075263,2,,A1,apple,s,799,5.8
male,67.1,6.34,21,274.265447,116.6622715908,46.5396421,403.8452835,14.18941855,40.31851411,895.8205768,598.6811746,2,A1,H1,huawei,s,699,5.7
female,68.7,8.9,21,189.7997492,216.3092637,36.92125687,233.5086855,209.7317701,98.9180884,985.1888138,160.0197194,1,,H2,huawei,l,799,6.3
male,71.8,8.2,20,300.7823827,180.7914449,45.23980556,445.7082885,176.4549157,85.36422323,1234.341061,450.6271981,2,,A2,apple,l,899,6.1
female,64.9,7.29,20,412.9662332,258.6795907,81.00812348,571.0606465,132.3475386,110.5175274,1566.57966,1040.956609,3,A2,A2,apple,l,809.1,5.8
male,64.4,5.72,19,420.334288,90.71982263,50.30608307,592.084799,100.0251574,31.71748996,1285.1876399445,757.1011039,3,H1,A1,apple,s,749,5.5
female,75.4,10.35,18,49.98293541,508.9455373,141.8999491,330.3655121,288.6059158,123.5987912,1443.398641,782.4652331,3,H2,A2,apple,l,899,5.8
female,67.6,8.37,21,429.2858759,145.5783884,74.83088721,560.615501,114.8733885,101.7757331,1426.959774,530.7647724,2,,S2,samsung,l,849,6.3
female,68.8,7.73,19,207.7720553,351.3436599,121.5691106,366.4866142,383.9730213,135.369264,1566.513725,117.5569718,1,H2,S2,samsung,l,899,6.8
female,56.7,4.52,20,427.4048057,225.1431493,49.799948,485.1295271,107.5542685,0,1295.031699,858.0997331,3,,A2,apple,l,899,5.8
female,63.1,6.17,20,19.32260601,327.8990474,280.4314845,277.8986379,53.02100199,376.8005157,1335.373293,444.9472083,2,,S2,samsung,l,849,6.3
female,67,8.32,19,192.8027996,276.6975212,130.373482,360.5196054,216.276309,112.3638035,1289.033521,718.4703778,2,,A1,apple,s,799,5.8
female,65.5,7.43,20,126.4554173,170.8121344,247.9719282,210.9397815,81.21987579,318.4781636,1155.8773008293,55.56353251,1,H2,S1,samsung,s,799,6.1
female,66.4,7.48,20,234.0195251,265.1162295,163.4266038,211.0685116,316.1342371,63.1042127,1252.86932,134.3540277,1,S2,S1,samsung,s,799,6.1
female,66.3,7.86,19,353.9814299,247.1287395,65.07420587,472.7877482,138.1889146,39.54474616,1316.705784,531.1184721,2,,H1,huawei,s,699,5.7
male,67.7,6.74,20,184.7654876,134.7136522,51.32511247,327.8254335,8.067580154,129.7104248,836.4076908,347.9893682,1,,S1,samsung,s,799,6.1
male,68.3,7.06,21,0,346.329611,241.0971555,241.7839348,89.49186809,314.2800276,1232.982597,646.8333124,2,S1,S2,samsung,l,849,6.3
male,66.1,6.98,22,208.7966154,324.6034873,150.9566481,265.0274036,321.0597641,87.50155516,1357.945474,401.0443381,2,S1,H2,huawei,l,749,6
male,72.9,7.75,21,113.2238622,303.2782504,120.8245916,336.3142851,229.6924473,40.47558105,1143.809018,630.4862,2,H1,A1,apple,s,799,5.8
female,56.5,5.15,19,0,470.7910151,173.4482902,216.2805742,144.0708651,286.839714,1291.430459,177.9752719,1,H1,A1,apple,s,849,6
female,62.9,5.73,18,397.8768586,166.963138,54.76159353,516.0129738,0,61.28997989,1196.9045438433,978.4269902,3,,S1,samsung,s,699,5.6
female,67.2,7.15,22,102.238869,370.9126769,67.83029646,225.9029125,314.4799586,204.593744,1285.958457,590.5768235,2,H2,A2,apple,l,899,6.1
